Indema-vendor-template CSV
vendor-smaple-template,,,,,,,,,,,,,,
Company Name,Company Website,Company Address,Rep Name,Rep Email,Rep Phone Number,Vendor Number,Vendor Status,Skype,LinkedIn,Twitter,Fcebook,GST Number,Shipping Address,Note
Jayson Home,https://www.jaysonhome.com/customer/account/,"1885 N Clybourn Ave, Chicago IL 60614", ,customerservice@jaysonhome.com,(800) 472-1885,,active,,,,,,,
Jeff Jones Photography,,,Jeffrey Jones,,,,active,,,,,,,
Jenny's Print Shop,https://jennysprintshop.com/collections/all,, ,,,,active,,,,,,,
JoAnn Fabrics,,,,,(888) 739-4120,,active,,,,,,,
Joe Miller,,"181 CR 307A, Lott TX 76656",Joe Miller,,254-883-7582,,active,,,,,,,
Josh Young Design House,,,Josh Young,josh@joshyoungdesignhouse.com,,,active,,,,,,,
Joybird,http://joybird.com/,"6055 E. Washington Blvd. #490, Commerce CA 90040", ,support@joybird.com,(888) 282-0842,,active,,,,,,,
Juju Papers,http://www.jujupapers.com/,,Avery Thatcher,info@jujupapers.com,(503) 764-7610,,active,,,,,,,
Juniper Print Shop,,,,,,,active,,,,,,,
Kas Rugs,http://www.kasrugs.com/,, ,,,,active,,,,,,,
Kathy Kuo Home,http://www.kathykuohome.com,,,cs@kathykuohome.com,(877) 907-1322 ext 101,,active,,,,,,,
Kelly Fridline Designs,https://www.kellyfridlinedesign.com/,,Kelly Fridline,kefridline@gmail.com,215-300-0754,,active,,,,,,,
Kravet Contract,http://www.kravetcontract.com/furniture.htm,, ,,,,active,,,,,,,
Kravet Inc.,http://e-designtrade.com,"225 Central Avenue South, Bethpage NY 11714",Kristine Rodgers,kristine.rogers@kravet.com,M: 252-341-1232,10193836,active,,,,,,,
KubeBath,http://www.kubebath.com,"5354 E Slauson Avenue, Commerce CA 90040",Miguel  Braga ,mbraga@kubebath.com,(747) 208-4831,,active,,,,,,,
LAMA Frames and Art Installation,,"501 N 33rd St,  Waco TX 76707",Lance Magid,studiogallerywaco@yahoo.com,(254) 722-0621,,active,,,,,,,
Lamps Plus,http://www.lampsplus.com,"20250 Plummer St, Chatsworth CA 91311",Josh  Ortega ,jortega@lampsplus.com,(800) 304-8120 ext 4217,,active,,,,,,,
Lee Industries,http://www.leeindustries.com/,,Kim  Sperr,ivyordering@gmail.com,,,active,,,,,,,
Leftbank Art,https://leftbankart.com/,, ,,,,active,,,,,,,
"Lesley Myrick Art + Design, LLC",http://www.lesleymyrick.com,"108 Hunters Ct, Macon GA 31210",Lesley Myrick,lesley@lesleymyrick.com,(323) 230-0068,,active,,,,,,,
Lowe's,,,,,,,active,,,,,,,
Macpaw,,,,,,,active,,,,,,,
Made Goods,https://www.madegoods.com,,Ramon  Longoria,info@madegoods.com,,,active,,,,,,,
Madewell,,,,madewell@madewell.com,,,active,,,,,,,
Mailchimp,,,,,,,active,,,,,,,
Mark and Graham,,,,,,,active,,,,,,,
Marshalls,,,,,,,active,,,,,,,
Maxwell Fabrics,https://www.maxwellfabrics.com/user/login?destination=user/register,,David Boone,david@egaspard.com,404-233-8645,,active,,,,,,,
McAlister's Deli,,,,,,,active,,,,,,,
McLennan Tax Office,,,,,,,active,,,,,,,
Mead Renovation Solutions,,"8813 Whippoorwill Dr, Waco TX 76712",Eric Mead,meadrenovations@gmail.com,254-716-8029,,active,,,,,,,
Me By Design,,,,,,,active,,,,,,,
Miko + Boone,https://www.mikoandboonehome.com/,"41 Oak Street, Roswell GA 30075", ,design@mikoandboonehome.com,(770) 545-8206,,active,,,,,,,
Mile IQ,,,,,,,active,,,,,,,
Minted,http://www.minted.com/,, ,trade@minted.com,,,active,,,,,,,
Misc Client,,,,,,,active,,,,,,,
Misc Restaurants,,,,,,,active,,,,,,,
Misc Transportation,,,,,,,active,,,,,,,
Misc Vendor,,,,,,,active,,,,,,,
Moe's Home Collection,https://www.moeshomecollection.com/sign-in/,,Susan  Hatch,susan@susanhatchsales.com,214-679-0916,C011002,active,,,,,,,
MTTS Granite,,, ,,,,active,,,,,,,
Neat as a Pin,http://www.neatasapin.net/,,Jennifer Snyder,jennifer@neatasapin.net,254-715-3888,,active,,,,,,,
Norwalk Furniture,https://www.norwalkfurniture.com/,,Mary DeVincenzo,mdevincenzo@norwalkfurniture.com,813-321-9918 mobile  419-744-3263 office,,active,,,,,,,
Office Depot,,,,,,,active,,,,,,,
Ollix,https://www.olliix.com/,, ,,,,active,,,,,,,
Oly Studio,http://www.olystudio.com,, ,,,,active,,,,,,,
Orient Express Furniture,http://www.orientexpressfurniture.com,,Janna Bonas ,janna@starinternationalfurniture.com,(949) 858-8087 x148,,active,,,,,,,
Overstock,http://www.overstock.com,,,,,,active,,,,,,,
Photos.com,https://www.photos.com/,,Lauren Katz ,Lauren.Katz@gettyimages.com,(646) 613-3810,,active,,,,,,,
Pilot Freight Services,http://www.pilotdelivers.com/?gclid=EAIaIQobChMIwsrP_pHK3AIVBAtpCh2hywlwEAAYASAAEgKKQfD_BwE&gclsrc=aw.ds,,Chad Cothren,dfw@pilotdelivers.com,800.745.6832,,active,,,,,,,
Piper Collection,https://www.piper-collection.com/,,Whitney ,whitney@piper-collection.com,704-576-1881,,active,,,,,,,
Plumlee Place,http://plumleeplace.com/,"802 N Robinson Dr, Robinson TX 76706",Mary Ann Plumlee,rs.plumleeplace@gmail.com,(254) 662-4021,,active,,,,,,,
Pottery Barn,http://www.potterybarn.com,,,trade@wsgc.com,,220102467943,active,,,,,,,
Pure Photo,,, ,,,,active,,,,,,,
"Regal Designer Delivery, LLC",http://www.regaldelivery.com,"11828 N Profit Row, Forney TX 75126",Mike Smith ,msmith@regaldelivery.com,(972) 552-1600,,active,,,,,,,
Regina Andrew Design,https://www.reginaandrew.com/,, ,,,,active,,,,,,,
Rejuvenation,http://www.wsitothetrade.com/,,,trade@wsgc.com,,220102467943,active,,,,,,,
Restoration Hardware,https://www.restorationhardware.com/trade-sales/index.jsp,,,trade@rh.com,(877) 733-6200,2016101033,active,,,,,,,
Revelation by Uttermost,https://www.uttermost.com/c-158-revelation.aspx,, ,,,,active,,,,,,,
Ross,,,,,,,active,,,,,,,
Rowe Furniture,https://www.rowefurniture.com/,"2121 Gardner St #3055, Elliston VA 24087",Allie  Weber,allison.weber@rowefurniture.com,540-444-5193,14557,active,,,,,,,
Rowley Company,https://www.rowleycompany.com/,,Nicole  Cornell ,NicoleC@rowleycompany.com,1-800-343-4542 Ext 201,,active,,,,,,,
RugPadUSA,https://www.rugpadusa.com/,,,customerservice@rugpadusa.com,,,active,,,,,,,
Rugs USA,http://www.rugsusa.com/,,,info@rugsusa.com,,,active,,,,,,,
Samantha McCarthy,,"3937 Colony Woods Drive, Greenville NC 27834",Samantha McCarthy,mrs.mccarthy1211@gmail.com,,,active,,,,,,,
Schoolhouse Electric,https://www.schoolhouseelectric.com/,"2181 NW Nicolai Street, Portland OR 97210", ,customerservice@schoolhouseelectric.com,(503) 230-7113,,active,,,,,,,
Scout Design Studio,https://www.scoutdesignstudio.com/,"155 Howell St, Dallas TX 75207",Christine Hayner,christine@scoutdesignstudio.com,,,active,,,,,,,
Serena + Lily,,, ,orders@serenaandlily.com,(866) 971-1016,,active,,,,,,,
Sherwin Williams,http://www.sherwin-williams.com,,,,,,active,,,,,,,
Signature Hardware,http://www.signaturehardware.com/,, ,email@email.com,,,active,,,,,,,
Sketchup for Interior Design,,,,,,,active,,,,,,,
Skyline Design,http://www.skylinedesign.com/,,Tyler Jones,tlojones33@yahoo.com,817-247-6276,,active,,,,,,,
Smart Stuff,https://www.smartstufffurniture.com/,, ,,,,active,,,,,,,
Soicher Marin,https://www.soicher-marin.com/,"4597 15th Street East, Bradenton FL 34203",Theresa Couilloux,tcouilloux@outlook.com,C: 817-939-2793    F: 866-377-6479,,active,,,,,,,
Starbucks,,,,,,,active,,,,,,,
Studio A Home,https://www.studioa-home.com/,, ,,,,active,,,,,,,
Studio Gallery,http://studiogallerywaco.com/,"4712 W Waco Drive, Waco TX 76710",Lance Magid ,studiogallerywaco@yahoo.com,(254) 722-0621,,active,,,,,,,
Style Library,http://www.stylelibrary.com,"800 Huyler St, Teterboro, NJ 07608",Ashley Leftwhich,ashley_leftwich@walkergreenbank.com,(201) 321-0113,,active,,,,,,,
Sunpan,https://www.sunpan.com/usa/hospitality,, ,,,,active,,,,,,,
Superior Custom Linens,,,,,,,active,,,,,,,
Surya,http://www.surya.com/,,Myriam Pirtle,myriam.pirtle@surya.com,Cell: 770-715-1503,,active,,,,,,,
Target,,,,,,,active,,,,,,,
Teachable.com,,,,,,,active,,,,,,,
The BS Trading Company,http://bstrading.com,"253 Loy Street, Burleson TX 76028", ,sales@bstrading.com,817-447-4433,,active,,,,,,,
The Rug Company,http://www.therugcompany.com,,Kathleen Sierra,,214-760-4888,,active,,,,,,,
The Shade Store,https://www.theshadestore.com/showrooms/texas/dallas,"The Shade Store at Kravet. 1025 N. Stemmons Freeway, Suite 720, Dallas TX 75207",Sean House,shouse@theshadestore.com,214-306-5218 ext 716,133558,active,,,,,,,
Thibaut,,, ,,,,active,,,,,,,
Thikit,,,,,,,active,,,,,,,
To Be Determined,,,,,,,active,,,,,,,
Transfer,,,,,,,active,,,,,,,
Universal Furniture,https://www.universalfurniture.com,, ,,,,active,,,,,,,
USPS,,,,,,,active,,,,,,,
Vickey Sides,,,Vickey Sides,sidesvr@gmail.com,,,active,,,,,,,
Walls Need Love,https://wallsneedlove.com/,,Sara ,sara@wallsneedlove.com,,,active,,,,,,,
Wayfair,http://www.wayfair.com (trade site in Notes),, ,businessquestions@wayfair.com,(857) 559-4220,,active,,,,,,,
Webfile Tax Payment,,,,,,,active,,,,,,,
Wendover Art,,,,,,,active,,,,,,,
Westbrook Corp,https://www.westbrookcorp.com/,"675 Metropolitan Parkway Suite 6074, Atlanta GA 30310",Chris Eason,Atlanta@westbrookatlanta.com,(855) 226-6871,,active,,,,,,,
West Elm,http://www.westelm.com,, ,tradeorders@wsgc.com,,220102467943,active,,,,,,,
Williams Sonoma Home,http://www.wsitothetrade.com/,,,,,,active,,,,,,,
World Market,http://www.worldmarket.com,,,,,,active,,,,,,,
Worlds Away,http://www.worlds-away.com/,, ,,,,active,,,,,,,
Zuo,https://zuomod.com/index.php?route=common/home,,Nora Trujillo,nora@zuomod.com,510-890-0007,1078990,active,,,,,,,
